condition,gr_ratio,hue_mean,sat_mean,lbp_std
ripe,0.8410231636644294,47.7679,55.3887,0.042975597722784725
ripe,0.9813166120258529,42.71,28.1703,0.042276210800431785
ripe,0.950901430732454,74.1002,39.8717,0.07415907226294087
ripe,0.5286565516716771,11.2317,157.2765,0.038320725459029405
ripe,0.9824215058299146,6.5198,43.668,0.20959432242122888
ripe,0.9591464823787527,68.2547,79.4548,0.04086592712353405
ripe,0.997648877940062,74.8643,73.3331,0.04481740732793765
ripe,0.9236877940576641,43.71,26.7463,0.04353428533490533
ripe,0.95941191439058,70.4812,73.1063,0.04205508292283198
ripe,0.9477831128462677,42.4844,28.6096,0.046317275390192605
ripe,0.936908435794642,46.3417,31.7324,0.05836067168323893
ripe,0.9961988868841004,7.2226,43.7908,0.21287293860643025
ripe,0.9054103746273737,37.1988,37.882,0.050013858074534935
ripe,0.9676542241908297,70.0925,76.5524,0.04226206336234405
ripe,1.0156784408810136,55.35,27.6583,0.07891390244281751
ripe,0.5207689636862551,12.4714,203.197,0.05387858572215328
ripe,0.9515382002897426,67.8206,74.1161,0.044959537359671835
ripe,0.9341131900173525,81.8825,47.2885,0.05652245570886886
ripe,0.9735031337727597,5.196,32.0778,0.2208684676232518
ripe,0.9555789724492783,67.6141,74.7048,0.03932897150562987
ripe,0.8321054226846806,14.6496,141.9439,0.084746350945416
ripe,0.9831518686343752,75.2457,71.7549,0.0411315693799986
ripe,1.0114183440174684,77.3374,56.7296,0.04382811882360249
ripe,0.9362151683449241,64.1957,74.0977,0.04585197923295699
ripe,0.5603754391806394,7.6273,131.3342,0.03502073671062203
ripe,0.9817167427616201,6.5785,35.5296,0.21719332860510565
ripe,0.5582920290552087,6.0065,141.7347,0.04134256885654493
ripe,0.4911661558302006,7.3806,172.5657,0.041760363978912036
ripe,0.9993058640614595,6.0176,29.0324,0.22429652692348628
ripe,0.9860401545477737,54.6904,28.6367,0.10784498132817258
ripe,0.5503771192985311,10.9598,149.8571,0.04112184333978474
ripe,1.0041565361828195,10.8531,59.8164,0.18347951382447866
ripe,0.9899769406646303,10.5286,55.0716,0.1837052911411385
ripe,0.9959744578661964,74.8211,68.3323,0.04928742232572272
ripe,0.971007719317329,67.6107,74.9059,0.042891864026083755
ripe,0.976393946947221,91.5088,26.9557,0.06731020724298706
ripe,0.9721046242980407,7.0144,37.2635,0.20756644235372737
